"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"5442","91/10-31-029-21W3/0","191103102921W300",51.5341075,-108.9422165,709.47,1436,2013-03-05,2013-02-04,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5443","91/09-20-030-20W3/0","191092003020W300",51.5921737,-108.7729232,698.69,1438,2014-11-17,2014-10-07,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"5444","91/09-21-025-14W3/0","191092102514W300",51.1559405,-107.8896801,612.66,1380,2015-12-01,2015-11-23,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"5445","91/10-05-033-24W3/0","191100503324W300",51.8111414,-109.3662531,728.42,1605,2016-01-21,2015-12-13,"Horizontal","KERROBERT VIKING","RAGING RIVER EXPLORATION INC."
"5446","91/09-21-029-22W3/0","191092102922W300",51.5050141,-109.0305114,738.08,1471,2015-08-24,2015-08-13,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5447","91/09-23-029-22W3/0","191092302922W300",51.5052641,-108.9831095,736.26,1494,2014-01-23,2013-12-30,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5448","91/09-24-029-22W3/0","191092402922W300",51.5052438,-108.9599056,752.1,1497,2015-08-01,2015-07-15,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5449","91/09-24-031-18W3/0","191092403118W300",51.6788358,-108.4161179,611.44,1405,2013-10-31,2013-09-09,"Horizontal","VIKING SAND","CRESCENT POINT RESOURCES PARTNERSHIP"
"5450","91/09-27-029-22W3/0","191092702922W300",51.5196254,-109.0070363,735.61,1485,2015-02-07,2015-01-19,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5451","91/10-34-032-23W3/0","191103403223W300",51.7953633,-109.1670875,731.01,1760,2014-06-05,2014-03-13,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"5452","91/09-24-032-23W3/0","191092403223W300",51.7666149,-109.1264564,664.24,1471,2015-01-18,2014-12-13,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"5453","91/09-30-025-18W3/0","191093002518W300",51.1697993,-108.493283,686.63,1455,2014-02-28,2014-02-16,"Horizontal","PLATO VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5454","91/09-33-029-21W3/0","191093302921W300",51.5275537,-108.8992142,714.57,1437,2012-12-20,2012-11-19,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5455","91/10-14-029-22W3/0","191101402922W300",51.4903333,-108.9887224,738.82,1442,2011-09-09,2011-08-22,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5456","91/10-16-029-22W3/0","191101602922W300",51.490611,-109.0348221,748.9,1485,2014-02-03,2014-01-14,"Horizontal","AVON HILL VIKING","RAGING RIVER EXPLORATION INC."
"5457","91/09-33-029-24W3/0","191093302924W300",51.5288198,-109.3216991,711.11,1444,2013-01-25,2012-12-19,"Horizontal","WHITESIDE VIKING","TAMARACK ACQUISITION CORP."
"5458","91/09-36-029-29W3/0","191093602929W300",51.5236268,-109.9634196,721.8,1993,2015-09-01,2015-07-27,"Horizontal","VIKING SAND","TAMARACK ACQUISITION CORP."
"5459","91/09-33-033-23W3/0","191093303323W300",51.8761521,-109.2077933,704.45,1500,2015-10-06,2015-09-23,"Horizontal","KERROBERT VIKING","RAGING RIVER EXPLORATION INC."
"5460","91/10-16-033-23W3/0","191101603323W300",51.8329969,-109.1901219,699.68,1521,2015-03-19,2015-02-03,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"5461","91/09-34-029-22W3/0","191093402922W300",51.5276788,-109.0175804,742.25,1501,2013-08-19,2013-08-04,"Horizontal","AVON HILL VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5462","91/09-35-030-22W3/0","191093503022W300",51.6136131,-108.9973257,677.48,1657,2011-08-10,2011-07-01,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5463","91/09-36-029-22W3/0","191093602922W300",51.5274881,-108.9706558,721.92,1502,2013-08-19,2013-08-11,"Horizontal","AVON HILL VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5464","91/09-36-030-20W3/0","191093603020W300",51.6115324,-108.6896632,711.67,1592,2015-09-02,2015-06-29,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5465","91/10-02-031-20W3/0","191100203120W300",51.6274855,-108.7185003,699.62,1510,2014-09-27,2014-09-16,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5466","91/12-31-030-20W3/0","191123103020W300",51.6143693,-108.8015771,702.48,1498,2014-01-18,2013-12-09,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5467","91/12-31-030-21W3/0","191123103021W300",51.6209467,-108.9508713,676.35,1460,2011-08-06,2011-06-26,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"5468","91/12-31-030-22W3/0","191123103022W300",51.6149092,-109.08328,713.63,1471,2011-03-03,2011-02-05,"Horizontal","EUREKA VIKING","TEINE ENERGY LTD."
"5469","91/13-14-030-22W3/0","191131403022W300",51.5680877,-108.999552,713.33,1564,2011-07-19,2011-06-16,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5470","91/13-16-030-22W3/0","191131603022W300",51.5743622,-109.0356424,726.39,1569,2012-02-12,2012-01-30,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5471","91/10-03-032-23W3/0","191100303223W300",51.7186558,-109.1665969,701.31,1549,2015-02-04,2015-01-12,"Horizontal","EUREKA VIKING","WHITECAP RESOURCES INC."
"5472","91/10-11-026-19W3/0","191101102619W300",51.2136591,-108.5485039,693.38,1395,2015-07-14,2015-06-20,"Horizontal","PLATO NORTH VIKING","CRESCENT POINT ENERGY CORP."
"5473","91/10-13-030-22W3/0","191101303022W300",51.5722183,-108.954276,696.87,1547,2011-03-02,2011-02-17,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5474","91/10-14-030-22W3/0","191101403022W300",51.5709621,-108.9760385,699.45,1565,2011-02-16,2011-01-28,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5475","91/10-15-030-22W3/0","191101503022W300",51.5724899,-109.0016819,703.11,1549,2011-06-08,2011-03-17,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"5476","91/10-26-030-22W3/0","191102603022W300",51.599576,-108.9782533,683.86,1462,2010-10-03,2010-09-06,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
